"Step","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - current_best_fitness__MAX","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness__MIN","brax_ppo/num_timesteps_2560000000_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - current_best_fitness__MAX"
"17","-79.84375","-79.84375","-79.84375","-81.265625","-81.265625","-81.265625","-81.0546875","-81.0546875","-81.0546875","-188.65625","-188.65625","-188.65625","-127.5546875","-127.5546875","-127.5546875","-186.03125","-186.03125","-186.03125","-82.328125","-82.328125","-82.328125","-86.203125","-86.203125","-86.203125","-80.7421875","-80.7421875","-80.7421875","-79.4921875","-79.4921875","-79.4921875"
"18","-79.234375","-79.234375","-79.234375","-79.3125","-79.3125","-79.3125","-83.8359375","-83.8359375","-83.8359375","-182.046875","-182.046875","-182.046875","-122.796875","-122.796875","-122.796875","-182.5078125","-182.5078125","-182.5078125","-82.78125","-82.78125","-82.78125","-84.6796875","-84.6796875","-84.6796875","-79.3046875","-79.3046875","-79.3046875","-82.03125","-82.03125","-82.03125"
"19","-80.2890625","-80.2890625","-80.2890625","-79.640625","-79.640625","-79.640625","-81.1328125","-81.1328125","-81.1328125","-181.40625","-181.40625","-181.40625","-125.1015625","-125.1015625","-125.1015625","-179.9453125","-179.9453125","-179.9453125","-79.0078125","-79.0078125","-79.0078125","-85.6875","-85.6875","-85.6875","-79.2421875","-79.2421875","-79.2421875","-80.7734375","-80.7734375","-80.7734375"
"20","-78.78125","-78.78125","-78.78125","-78.9375","-78.9375","-78.9375","-82.703125","-82.703125","-82.703125","-170.9375","-170.9375","-170.9375","-121.2109375","-121.2109375","-121.2109375","-175.6015625","-175.6015625","-175.6015625","-80.25","-80.25","-80.25","-85.515625","-85.515625","-85.515625","-79.171875","-79.171875","-79.171875","-80.8984375","-80.8984375","-80.8984375"
"21","-84.3046875","-84.3046875","-84.3046875","-78.8203125","-78.8203125","-78.8203125","-83.0234375","-83.0234375","-83.0234375","-168.625","-168.625","-168.625","-119.4296875","-119.4296875","-119.4296875","-171.796875","-171.796875","-171.796875","-80.7421875","-80.7421875","-80.7421875","-79.234375","-79.234375","-79.234375","-78.578125","-78.578125","-78.578125","-81.953125","-81.953125","-81.953125"
"22","-80.546875","-80.546875","-80.546875","-78.7578125","-78.7578125","-78.7578125","-82.5703125","-82.5703125","-82.5703125","-168.9296875","-168.9296875","-168.9296875","-117.3671875","-117.3671875","-117.3671875","-175.578125","-175.578125","-175.578125","-79.0078125","-79.0078125","-79.0078125","-84.5234375","-84.5234375","-84.5234375","-78.5703125","-78.5703125","-78.5703125","-80.34375","-80.34375","-80.34375"
"23","-78.59375","-78.59375","-78.59375","-79.0859375","-79.0859375","-79.0859375","-80.71875","-80.71875","-80.71875","-175.4375","-175.4375","-175.4375","-112.3671875","-112.3671875","-112.3671875","-177.125","-177.125","-177.125","-83.7890625","-83.7890625","-83.7890625","-82.2265625","-82.2265625","-82.2265625","-80.5546875","-80.5546875","-80.5546875","-80.0234375","-80.0234375","-80.0234375"
"24","-79.46875","-79.46875","-79.46875","-80.875","-80.875","-80.875","-81.8203125","-81.8203125","-81.8203125","-190.8046875","-190.8046875","-190.8046875","-107.2265625","-107.2265625","-107.2265625","-167.1015625","-167.1015625","-167.1015625","-84.078125","-84.078125","-84.078125","-80.2734375","-80.2734375","-80.2734375","-82.5625","-82.5625","-82.5625","-83.359375","-83.359375","-83.359375"
"25","-78.0390625","-78.0390625","-78.0390625","-79.890625","-79.890625","-79.890625","-82.515625","-82.515625","-82.515625","-181.6015625","-181.6015625","-181.6015625","-103.671875","-103.671875","-103.671875","-153","-153","-153","-82.984375","-82.984375","-82.984375","-79.8671875","-79.8671875","-79.8671875","-79.6953125","-79.6953125","-79.6953125","-80.671875","-80.671875","-80.671875"
"26","-81.0078125","-81.0078125","-81.0078125","-78.625","-78.625","-78.625","-80.234375","-80.234375","-80.234375","-187.1796875","-187.1796875","-187.1796875","-98.734375","-98.734375","-98.734375","-138.9453125","-138.9453125","-138.9453125","-81.4765625","-81.4765625","-81.4765625","-80.6953125","-80.6953125","-80.6953125","-81.90625","-81.90625","-81.90625","-81.78125","-81.78125","-81.78125"
"27","-77.9375","-77.9375","-77.9375","-79.71875","-79.71875","-79.71875","-80.7421875","-80.7421875","-80.7421875","-194.546875","-194.546875","-194.546875","-106.3984375","-106.3984375","-106.3984375","-134.5078125","-134.5078125","-134.5078125","-82.2265625","-82.2265625","-82.2265625","-79.5078125","-79.5078125","-79.5078125","-81.5390625","-81.5390625","-81.5390625","-79.75","-79.75","-79.75"
"28","-79.6328125","-79.6328125","-79.6328125","-81.5390625","-81.5390625","-81.5390625","-81.2109375","-81.2109375","-81.2109375","-195.6953125","-195.6953125","-195.6953125","-102.421875","-102.421875","-102.421875","-138.3515625","-138.3515625","-138.3515625","-81.328125","-81.328125","-81.328125","-82.96875","-82.96875","-82.96875","-82.0546875","-82.0546875","-82.0546875","-79.359375","-79.359375","-79.359375"
"29","-83.0625","-83.0625","-83.0625","-79.125","-79.125","-79.125","-81.5078125","-81.5078125","-81.5078125","-198.71875","-198.71875","-198.71875","-98.25","-98.25","-98.25","-143.59375","-143.59375","-143.59375","-83.109375","-83.109375","-83.109375","-81.0625","-81.0625","-81.0625","-82.296875","-82.296875","-82.296875","-80.59375","-80.59375","-80.59375"
"30","-77.84375","-77.84375","-77.84375","-79.9140625","-79.9140625","-79.9140625","-83.6796875","-83.6796875","-83.6796875","-200","-200","-200","-97.734375","-97.734375","-97.734375","-132.546875","-132.546875","-132.546875","-78.4140625","-78.4140625","-78.4140625","-79.8359375","-79.8359375","-79.8359375","-82.6171875","-82.6171875","-82.6171875","-81.140625","-81.140625","-81.140625"
"31","-80.5546875","-80.5546875","-80.5546875","-80.6953125","-80.6953125","-80.6953125","-80.5234375","-80.5234375","-80.5234375","-199.1796875","-199.1796875","-199.1796875","-95.4609375","-95.4609375","-95.4609375","-136.4296875","-136.4296875","-136.4296875","-81.046875","-81.046875","-81.046875","-83.359375","-83.359375","-83.359375","-79.21875","-79.21875","-79.21875","-83.9296875","-83.9296875","-83.9296875"
"32","-83.140625","-83.140625","-83.140625","-79.5234375","-79.5234375","-79.5234375","-78.7578125","-78.7578125","-78.7578125","-199.421875","-199.421875","-199.421875","-94.6484375","-94.6484375","-94.6484375","-131.8828125","-131.8828125","-131.8828125","-82.96875","-82.96875","-82.96875","-80.4375","-80.4375","-80.4375","-80.859375","-80.859375","-80.859375","-80.8125","-80.8125","-80.8125"
"33","-79.046875","-79.046875","-79.046875","-77.2265625","-77.2265625","-77.2265625","-80.375","-80.375","-80.375","-196.6484375","-196.6484375","-196.6484375","-96.09375","-96.09375","-96.09375","-137.3359375","-137.3359375","-137.3359375","-82.0234375","-82.0234375","-82.0234375","-83.9765625","-83.9765625","-83.9765625","-79.1015625","-79.1015625","-79.1015625","-82.96875","-82.96875","-82.96875"
"34","-77.3203125","-77.3203125","-77.3203125","-85.3671875","-85.3671875","-85.3671875","-78.8671875","-78.8671875","-78.8671875","-198.8828125","-198.8828125","-198.8828125","-95.5859375","-95.5859375","-95.5859375","-130.5078125","-130.5078125","-130.5078125","-83.8984375","-83.8984375","-83.8984375","-80.84375","-80.84375","-80.84375","-81.515625","-81.515625","-81.515625","-82.5078125","-82.5078125","-82.5078125"
"35","-80.046875","-80.046875","-80.046875","-79.2890625","-79.2890625","-79.2890625","-80.171875","-80.171875","-80.171875","-200","-200","-200","-94.8203125","-94.8203125","-94.8203125","-130.8671875","-130.8671875","-130.8671875","-79.75","-79.75","-79.75","-78.171875","-78.171875","-78.171875","-81.4375","-81.4375","-81.4375","-81.8515625","-81.8515625","-81.8515625"
"36","-80.390625","-80.390625","-80.390625","-79.546875","-79.546875","-79.546875","-79.15625","-79.15625","-79.15625","-200","-200","-200","-93.1875","-93.1875","-93.1875","-121.5859375","-121.5859375","-121.5859375","-80.265625","-80.265625","-80.265625","-78.8984375","-78.8984375","-78.8984375","-79.7578125","-79.7578125","-79.7578125","-80.1640625","-80.1640625","-80.1640625"
"37","-81.0078125","-81.0078125","-81.0078125","-78.9140625","-78.9140625","-78.9140625","-77.921875","-77.921875","-77.921875","-198.7734375","-198.7734375","-198.7734375","-92.1875","-92.1875","-92.1875","-121.484375","-121.484375","-121.484375","-82.5859375","-82.5859375","-82.5859375","-79.5859375","-79.5859375","-79.5859375","-80","-80","-80","-80.375","-80.375","-80.375"
"38","-80.4296875","-80.4296875","-80.4296875","-79.484375","-79.484375","-79.484375","-80.6640625","-80.6640625","-80.6640625","-200","-200","-200","-92.125","-92.125","-92.125","-113.8359375","-113.8359375","-113.8359375","-81.65625","-81.65625","-81.65625","-80.5390625","-80.5390625","-80.5390625","-81.9140625","-81.9140625","-81.9140625","-80.578125","-80.578125","-80.578125"
"39","-80.421875","-80.421875","-80.421875","-79.7109375","-79.7109375","-79.7109375","-78.609375","-78.609375","-78.609375","-200","-200","-200","-91.0234375","-91.0234375","-91.0234375","-113.6484375","-113.6484375","-113.6484375","-81.6640625","-81.6640625","-81.6640625","-81.7734375","-81.7734375","-81.7734375","-78.609375","-78.609375","-78.609375","-78.1484375","-78.1484375","-78.1484375"
"40","-81.6328125","-81.6328125","-81.6328125","-79.1015625","-79.1015625","-79.1015625","-80.609375","-80.609375","-80.609375","-200","-200","-200","-88.46875","-88.46875","-88.46875","-114.1640625","-114.1640625","-114.1640625","-77.9140625","-77.9140625","-77.9140625","-80.640625","-80.640625","-80.640625","-80.765625","-80.765625","-80.765625","-85.453125","-85.453125","-85.453125"
"41","-78.765625","-78.765625","-78.765625","-78.3828125","-78.3828125","-78.3828125","-79.1953125","-79.1953125","-79.1953125","-200","-200","-200","-88.203125","-88.203125","-88.203125","-118.2109375","-118.2109375","-118.2109375","-79.96875","-79.96875","-79.96875","-80.1171875","-80.1171875","-80.1171875","-81.6171875","-81.6171875","-81.6171875","-79.4140625","-79.4140625","-79.4140625"
"42","-81.8046875","-81.8046875","-81.8046875","-77.3671875","-77.3671875","-77.3671875","-79.7734375","-79.7734375","-79.7734375","-199.859375","-199.859375","-199.859375","-91.1875","-91.1875","-91.1875","-114.6328125","-114.6328125","-114.6328125","-80.7109375","-80.7109375","-80.7109375","-78.5546875","-78.5546875","-78.5546875","-81.4296875","-81.4296875","-81.4296875","-81.359375","-81.359375","-81.359375"
"43","-81.0859375","-81.0859375","-81.0859375","-81.25","-81.25","-81.25","-81.328125","-81.328125","-81.328125","-197.8046875","-197.8046875","-197.8046875","-90.5625","-90.5625","-90.5625","-116.75","-116.75","-116.75","-81.734375","-81.734375","-81.734375","-82.5546875","-82.5546875","-82.5546875","-83.0859375","-83.0859375","-83.0859375","-80.2734375","-80.2734375","-80.2734375"
"44","-79.8828125","-79.8828125","-79.8828125","-80.53125","-80.53125","-80.53125","-80.28125","-80.28125","-80.28125","-194","-194","-194","-88.7578125","-88.7578125","-88.7578125","-111.796875","-111.796875","-111.796875","-81.4140625","-81.4140625","-81.4140625","-83.2265625","-83.2265625","-83.2265625","-80.828125","-80.828125","-80.828125","-80.2578125","-80.2578125","-80.2578125"
"45","-79.5234375","-79.5234375","-79.5234375","-79.921875","-79.921875","-79.921875","-81.3671875","-81.3671875","-81.3671875","-200","-200","-200","-86.5859375","-86.5859375","-86.5859375","-111.4453125","-111.4453125","-111.4453125","-80.2578125","-80.2578125","-80.2578125","-81.71875","-81.71875","-81.71875","-82.1875","-82.1875","-82.1875","-80.2421875","-80.2421875","-80.2421875"
"46","-82.078125","-82.078125","-82.078125","-78.03125","-78.03125","-78.03125","-78.7890625","-78.7890625","-78.7890625","-198.6875","-198.6875","-198.6875","-92.84375","-92.84375","-92.84375","-109.2421875","-109.2421875","-109.2421875","-81.4609375","-81.4609375","-81.4609375","-80.03125","-80.03125","-80.03125","-80.3671875","-80.3671875","-80.3671875","-77.421875","-77.421875","-77.421875"
"47","-81.7578125","-81.7578125","-81.7578125","-78.2890625","-78.2890625","-78.2890625","-77.8125","-77.8125","-77.8125","-198.4453125","-198.4453125","-198.4453125","-87.7421875","-87.7421875","-87.7421875","-107.6953125","-107.6953125","-107.6953125","-79.2578125","-79.2578125","-79.2578125","-80.8828125","-80.8828125","-80.8828125","-79.5625","-79.5625","-79.5625","-79.5","-79.5","-79.5"
"48","-80.875","-80.875","-80.875","-78.515625","-78.515625","-78.515625","-78.0078125","-78.0078125","-78.0078125","-194.234375","-194.234375","-194.234375","-89.1953125","-89.1953125","-89.1953125","-109.7421875","-109.7421875","-109.7421875","-79.1640625","-79.1640625","-79.1640625","-81.125","-81.125","-81.125","-85.1328125","-85.1328125","-85.1328125","-78.59375","-78.59375","-78.59375"
"49","-80.8359375","-80.8359375","-80.8359375","-81.59375","-81.59375","-81.59375","-79.6953125","-79.6953125","-79.6953125","-195.171875","-195.171875","-195.171875","-86.6640625","-86.6640625","-86.6640625","-110.21875","-110.21875","-110.21875","-80.53125","-80.53125","-80.53125","-81.515625","-81.515625","-81.515625","-81.2109375","-81.2109375","-81.2109375","-81.9921875","-81.9921875","-81.9921875"
"50","-81.28125","-81.28125","-81.28125","-78.703125","-78.703125","-78.703125","-79.0703125","-79.0703125","-79.0703125","-193.6796875","-193.6796875","-193.6796875","-85.5390625","-85.5390625","-85.5390625","-113.171875","-113.171875","-113.171875","-80.3984375","-80.3984375","-80.3984375","-80.59375","-80.59375","-80.59375","-82.4375","-82.4375","-82.4375","-80.40625","-80.40625","-80.40625"
"51","-200","-200","-200","-199.203125","-199.203125","-199.203125","-200","-200","-200","-197.8671875","-197.8671875","-197.8671875","-192.2734375","-192.2734375","-192.2734375","-200","-200","-200","-103.171875","-103.171875","-103.171875","-200","-200","-200","-200","-200","-200","-200","-200","-200"
